gender,event,medal,athlete,abb,country,grp_id,type,year,guide
Women,Double FITA Round Div. 3,Gold,HILDERLEY Helen,GBR,United Kingdom,,Archery,1984,
Women,Double FITA Round Integrated,Gold,DERSEN Anneliese,GER,Germany,,Archery,1984,
Women,Double FITA Round Paraplegic,Gold,HAGEL Susan,USA,United States of America,,Archery,1984,
Women,Double Short Metric Round Paraplegic,Gold,BALME M. P.,FRA,France,,Archery,1984,
Men,Double FITA Round Team 1A-6,Gold,,BEL,Belgium,1.0,Archery,1984,
Men,Double FITA Round Team Integrated,Gold,AHLINDER S.BABKIN Nicolai,SWE,Sweden,1.0,Archery,1984,
Men,Short Metric Round Team 1A-6,Gold,,FRA,France,1.0,Archery,1984,
Men,Double Advanced Metric Round Team 1A-6,Gold,,FRA,France,1.0,Archery,1984,
Men,"Single FITA Round C7,C8",Gold,KUYS Alfons,BEL,Belgium,,Archery,1988,
Men,Double FITA Round Open,Gold,AN Tae Sung,KOR,South Korea,,Archery,1988,
Men,Double FITA Round 2-6,Gold,BAUDOIS Michel,SUI,Switzerland,,Archery,1988,
Men,Double Short Metric Round 1A-1C,Gold,RANTAVOURI Martti,FIN,Finland,,Archery,1988,
Women,Double FITA Round Open,Gold,LEE Kyung Hee,KOR,South Korea,,Archery,1988,
Women,Double FITA Round 2-6,Gold,WATTS Karen,GBR,United Kingdom,,Archery,1988,
Men,Double FITA Round Team Open,Gold,AN Tae Sung,KOR,South Korea,1.0,Archery,1988,
Men,Double FITA Round Team 2-6,Gold,JANG Ki Ki,KOR,South Korea,1.0,Archery,1988,
Women,Double FITA Round Team 2-6,Gold,ANIC Wilma,GBR,United Kingdom,1.0,Archery,1988,
Men,Individual AR1,Gold,MINAMI Koichi,JPN,Japan,,Archery,1992,
Men,Individual AR2,Gold,PIZZORNI Orazio,ITA,Italy,,Archery,1992,
Men,Individual Open,Gold,FUDGE Jens,DEN,Denmark,,Archery,1992,
Women,Individual AR2,Gold,FANTATO Paola,ITA,Italy,,Archery,1992,
Women,Individual Open,Gold,GRISHKO Tatiana,RUS,Russia,,Archery,1992,
Men,Teams AR2,Gold,BAHLS Karl,GER,Germany,1.0,Archery,1992,
Men,Teams Open,Gold,CHO Hyun Kwan,KOR,South Korea,1.0,Archery,1992,
Men,Individual W1,Gold,RANTAVOURI Martti,FIN,Finland,,Archery,1996,
Men,Individual W2,Gold,LEE Ouk Soo,KOR,South Korea,,Archery,1996,
Men,Individual Standing,Gold,OLEJNIK Ryszard,POL,Poland,,Archery,1996,
Women,Individual W2,Gold,SUZUKI Hifumi,JPN,Japan,,Archery,1996,
Women,Individual Standing,Gold,OLEJNIK Malgorzata,POL,Poland,,Archery,1996,
Men,Teams W1/W2,Gold,NORTMANN Hermann,GER,Germany,1.0,Archery,1996,
Men,Teams Standing,Gold,AN Tae Sung,KOR,South Korea,1.0,Archery,1996,
Women,Teams Open,Gold,FANTATO Paola,ITA,Italy,1.0,Archery,1996,
Men,Individual W1,Gold,SEBEK Zdenek,CZE,Czechia,,Archery,2000,
Men,Individual W2,Gold,LEE Hong Gu,KOR,South Korea,,Archery,2000,
Men,Individual Standing,Gold,AN Tae Sung,KOR,South Korea,,Archery,2000,
Women,Individual W1/W2,Gold,FANTATO Paola,ITA,Italy,,Archery,2000,
Women,Individual Standing,Gold,CHAPMAN Anita,GBR,United Kingdom,,Archery,2000,
Men,Teams Open,Gold,DE PELLEGRIN Oscar,ITA,Italy,1.0,Archery,2000,
Men,Individual W1,Gold,CAVANAGH John,GBR,United Kingdom,,Archery,2004,
Men,Individual W2,Gold,OEHME Mario,GER,Germany,,Archery,2004,
Men,Individual Standing,Gold,LYOCSA Imrich,SVK,Slovakia,,Archery,2004,
Women,Individual W1/W2,Gold,FANTATO Paola,ITA,Italy,,Archery,2004,
Women,Individual Standing,Gold,WANG Yanhong,CHN,China,,Archery,2004,
Men,Teams Open,Gold,JUNG Young Joo,KOR,South Korea,1.0,Archery,2004,
Women,Teams Open,Gold,CHAPMAN Anita,GBR,United Kingdom,1.0,Archery,2004,
Men,Individual Compound W1,Gold,DRAHONINSKY David,CZE,Czechia,,Archery,2008,
Men,Individual Compound Open,Gold,STUBBS John,GBR,United Kingdom,,Archery,2008,
Men,Individual Recurve W1/W2,Gold,CHENG Changjie,CHN,China,,Archery,2008,
Men,Individual Recurve Standing,Gold,DAMBADONDOG Baatarjav,MGL,Mongolia,,Archery,2008,
Women,Individual Compound Open,Gold,BROWN Danielle,GBR,United Kingdom,,Archery,2008,
Women,Individual Recurve W1/W2,Gold,GIRISMEN Gizem,TUR,Turkey,,Archery,2008,
Women,Individual Recurve Standing,Gold,LEE Hwa Sook,KOR,South Korea,,Archery,2008,
Men,Team Recurve Open,Gold,CHO Hyun Kwan,KOR,South Korea,1.0,Archery,2008,
Women,Team Recurve Open,Gold,FU Hongzhi,CHN,China,1.0,Archery,2008,
Men,Individual Compound W1,Gold,FABRY Jeff,USA,United States of America,,Archery,2012,
Men,Individual Compound Open,Gold,FORSBERG Jere,FIN,Finland,,Archery,2012,
Men,Individual Recurve W1/W2,Gold,DE PELLEGRIN Oscar,ITA,Italy,,Archery,2012,
Men,Individual Recurve Standing,Gold,TUCHINOV Timur,RUS,Russia,,Archery,2012,
Women,Individual Compound Open,Gold,BROWN Danielle,GBR,United Kingdom,,Archery,2012,
Women,Individual Recurve W1/W2,Gold,NEMATI Zahra,IRI,Iran,,Archery,2012,
Women,Individual Recurve Standing,Gold,YAN Huilian,CHN,China,,Archery,2012,
Men,Team Recurve Open,Gold,OYUN Mikhail,RUS,Russia,1.0,Archery,2012,
Women,Team Recurve Open,Gold,KIM Ran Sook,KOR,South Korea,1.0,Archery,2012,
Men,Individual W1,Gold,WALKER John,GBR,United Kingdom,,Archery,2016,
Men,Individual Compound Open,Gold,SHELBY Andre,USA,United States of America,,Archery,2016,
Men,Individual Recurve Open,Gold,RAHIMI Gholamreza,IRI,Iran,,Archery,2016,
Women,Individual W1,Gold,STRETTON Jessica,GBR,United Kingdom,,Archery,2016,
Women,Individual Compound Open,Gold,ZHOU Jiamin,CHN,China,,Archery,2016,
Women,Individual Recurve Open,Gold,NEMATI Zahra,IRI,Iran,,Archery,2016,
Mixed,Team W1,Gold,WALKER John,GBR,United Kingdom,1.0,Archery,2016,
Mixed,Team Compound Open,Gold,AI Xinliang,CHN,China,1.0,Archery,2016,
Mixed,Team Recurve Open,Gold,ZHAO Lixue,CHN,China,1.0,Archery,2016,
Men,60 m 1A,Gold,DE LAS FUENTES Francisco,Mex,Mexico,,Athletics,1980,
Men,60 m 1B,Gold,HEDMAN Leif,SWE,Sweden,,Athletics,1980,
Men,60 m 1C,Gold,MONSALVO Eduardo,Mex,Mexico,,Athletics,1980,
Men,60 m A,Gold,MCLEOD William,GBR,United Kingdom,,Athletics,1980,
Men,80 m CP C,Gold,HAVARD Andre,FRA,France,,Athletics,1980,
Men,80 m CP D,Gold,THOMSEN Henrik,DEN,Denmark,,Athletics,1980,
Men,100 m B,Gold,LANDOS Jerzy,POL,Poland,,Athletics,1980,
Men,100 m C,Gold,BELANGER Magella,CAN,Canada,,Athletics,1980,
Men,100 m C1,Gold,LAPALME Denis,CAN,Canada,,Athletics,1980,
Men,100 m D,Gold,WAGNER K.,GER,Germany,,Athletics,1980,
Men,100 m E,Gold,JAUHIAINEN Harri,FIN,Finland,,Athletics,1980,
Men,100 m E1,Gold,PEDERSEN Cato Zahl,NOR,Norway,,Athletics,1980,
Men,100 m F,Gold,LANHAM,AUS,Australia,,Athletics,1980,
Men,100 m F1,Gold,BERG Matthias,GER,Germany,,Athletics,1980,
Men,100 m 2,Gold,VALDEZ Eusebio,Mex,Mexico,,Athletics,1980,
Men,100 m 3,Gold,LOFSTROM Lars,SWE,Sweden,,Athletics,1980,
Men,100 m 4,Gold,PARKS B.,USA,United States of America,,Athletics,1980,
Men,100 m 5,Gold,DE MEYER M.,BEL,Belgium,,Athletics,1980,
Men,100 m D1 runners,Gold,FINK Walter,AUT,Austria,,Athletics,1980,
Men,100 m D1 wheelchairs,Gold,MARTINSON Jim,USA,United States of America,,Athletics,1980,
Men,200 m 2,Gold,VALDEZ Eusebio,Mex,Mexico,,Athletics,1980,
Men,200 m 3,Gold,NUGENT Michael,AUS,Australia,,Athletics,1980,
Men,400 m A,Gold,YORK Patrick,CAN,Canada,,Athletics,1980,
Men,400 m B,Gold,LANDOS Jerzy,POL,Poland,,Athletics,1980,
Men,400 m C,Gold,JOHANN Jurgen,GER,Germany,,Athletics,1980,
Men,400 m C1,Gold,KARNER Alois,AUT,Austria,,Athletics,1980,
Men,400 m D,Gold,HARRISON J.,CAN,Canada,,Athletics,1980,
Men,400 m E,Gold,JAUHIAINEN Harri,FIN,Finland,,Athletics,1980,
Men,400 m E1,Gold,PEDERSEN Cato Zahl,NOR,Norway,,Athletics,1980,
Men,400 m F,Gold,WIERZBICKI Marian,POL,Poland,,Athletics,1980,
Men,400 m F1,Gold,BERG Matthias,GER,Germany,,Athletics,1980,
Men,400 m 2,Gold,VALDEZ Eusebio,Mex,Mexico,,Athletics,1980,
Men,400 m 3,Gold,DE VOS Marc,BEL,Belgium,,Athletics,1980,
Men,400 m D1 runners,Gold,FINK Walter,AUT,Austria,,Athletics,1980,
Men,400 m D1 wheelchairs,Gold,BRINKMAN C.,USA,United States of America,,Athletics,1980,
Men,800 m CP C,Gold,SHAWN Bertil,SWE,Sweden,,Athletics,1980,
Men,800 m CP D,Gold,ANDERSSON Jonas,SWE,Sweden,,Athletics,1980,
Men,800 m 4,Gold,HANSEN R.,CAN,Canada,,Athletics,1980,
Men,800 m 5,Gold,FITZGERALD M.,CAN,Canada,,Athletics,1980,
Men,1500 m A,Gold,PILON Jacques,CAN,Canada,,Athletics,1980,
Men,1500 m B,Gold,ENGLISH P.,CAN,Canada,,Athletics,1980,
Men,1500 m E,Gold,LINDBERG R.,FIN,Finland,,Athletics,1980,
Men,1500 m E1,Gold,PEDERSEN Cato Zahl,NOR,Norway,,Athletics,1980,
Men,1500 m F,Gold,SCHROEDER Karl,GER,Germany,,Athletics,1980,
Men,1500 m F1,Gold,GHREEB Khater Eid,EGY,Egypt,,Athletics,1980,
Men,1500 m 4,Gold,PARKS B.,USA,United States of America,,Athletics,1980,
Men,1500 m 5,Gold,FITZGERALD M.,CAN,Canada,,Athletics,1980,
Men,5000 m Walk A,Gold,KOBAYASHI S.,JPN,Japan,,Athletics,1980,
Men,5000 m Walk B,Gold,HOWIE D.,GBR,United Kingdom,,Athletics,1980,
Men,Slalom 1A,Gold,CAVIGELLI Meinrad,SUI,Switzerland,,Athletics,1980,
Men,Slalom 1B,Gold,CIUFFREDA Giovanni,ITA,Italy,,Athletics,1980,
Men,Slalom 1C,Gold,MILLER D.,NZL,New Zealand,,Athletics,1980,
Men,Slalom F1,Gold,BRAND Andreas,GER,Germany,,Athletics,1980,
Men,Slalom 2,Gold,TSUNODA Yoshio,JPN,Japan,,Athletics,1980,
Men,Slalom 3,Gold,VAN WINKEL Paul,BEL,Belgium,,Athletics,1980,
Men,Slalom 4,Gold,GO Tadanobu,JPN,Japan,,Athletics,1980,
Men,Slalom 5,Gold,NIETLISPACH Franz,SUI,Switzerland,,Athletics,1980,
Men,High Jump A,Gold,LAMBIER E.,CAN,Canada,,Athletics,1980,
Men,High Jump B,Gold,MATSUI Hiromasa,JPN,Japan,,Athletics,1980,
Men,High Jump C,Gold,JOHANN Jurgen,GER,Germany,,Athletics,1980,
Men,High Jump D,Gold,BOLDT Arnold,CAN,Canada,,Athletics,1980,
Men,High Jump E,Gold,KRAUZ Jan,POL,Poland,,Athletics,1980,
Men,High Jump F,Gold,KOLM Gerhard,AUT,Austria,,Athletics,1980,
Men,Long Jump A,Gold,JOHNSEN Jarle,NOR,Norway,,Athletics,1980,
Men,Long Jump B,Gold,PAWLIK Andrzej,POL,Poland,,Athletics,1980,
Men,Long Jump C,Gold,JORG George,AUT,Austria,,Athletics,1980,
Men,Long Jump CP C,Gold,HERMANS Alex,BEL,Belgium,,Athletics,1980,
Men,Long Jump CP D,Gold,PIERRE B.,FRA,France,,Athletics,1980,
Men,Long Jump D,Gold,BOLDT Arnold,CAN,Canada,,Athletics,1980,
Men,Long Jump E,Gold,KRAUZ Jan,POL,Poland,,Athletics,1980,
Men,Long Jump E1,Gold,PEDERSEN Cato Zahl,NOR,Norway,,Athletics,1980,
Men,Long Jump F,Gold,WIERZBICKI Marian,POL,Poland,,Athletics,1980,
Men,Long Jump F1,Gold,BERG Matthias,GER,Germany,,Athletics,1980,
Men,Triple Jump A,Gold,DIPOWIDJOJO Soedjeman,NED,Netherlands,,Athletics,1980,
Men,Triple Jump B,Gold,PAWLIK Andrzej,POL,Poland,,Athletics,1980,
Men,Shot Put 1A,Gold,PATCHETT Wayne,AUS,Australia,,Athletics,1980,
Men,Shot Put 1B,Gold,ISAM Mohamad Ahmed,SUD,Sudan,,Athletics,1980,
Men,Shot Put 1C,Gold,SPIESS Guenter,GER,Germany,,Athletics,1980,
Men,Shot Put A,Gold,NEPPL James,USA,United States of America,,Athletics,1980,
Men,Shot Put B,Gold,KARLSSON Gosta,SWE,Sweden,,Athletics,1980,
Men,Shot Put C,Gold,JOSEFIAK Hans,GER,Germany,,Athletics,1980,
Men,Shot Put C1,Gold,MAMINSKI Mieczyslaw,POL,Poland,,Athletics,1980,
Men,Shot Put CP C,Gold,HERMANS Alex,BEL,Belgium,,Athletics,1980,
Men,Shot Put CP D,Gold,BECKE Tom,USA,United States of America,,Athletics,1980,
Men,Shot Put D,Gold,POPLAWSKI Andrzej,POL,Poland,,Athletics,1980,
Men,Shot Put D1,Gold,JEROME John,USA,United States of America,,Athletics,1980,
Men,Shot Put E,Gold,BEEZ Alois,GER,Germany,,Athletics,1980,
Men,Shot Put F,Gold,BRAET Achiel,BEL,Belgium,,Athletics,1980,
Men,Shot Put J,Gold,PALUCH Stanislaw,POL,Poland,,Athletics,1980,
Men,Shot Put 2,Gold,TODD Murray,AUS,Australia,,Athletics,1980,
Men,Shot Put 3,Gold,RUSSELL Eric,AUS,Australia,,Athletics,1980,
Men,Shot Put 4,Gold,LYONS D.,CAN,Canada,,Athletics,1980,
Men,Shot Put 5,Gold,CLARK Raymond,SWE,Sweden,,Athletics,1980,
Men,Discus Throw 1A,Gold,PATCHETT Wayne,AUS,Australia,,Athletics,1980,
Men,Discus Throw 1B,Gold,DUVAL Julius,USA,United States of America,,Athletics,1980,
Men,Discus Throw 1C,Gold,SANDOVAL Pedro,Mex,Mexico,,Athletics,1980,
Men,Discus Throw A,Gold,KUJALA Pekka,FIN,Finland,,Athletics,1980,
Men,Discus Throw B,Gold,GODLEWSKI Andrzej,POL,Poland,,Athletics,1980,
Men,Discus Throw C,Gold,JOSEFIAK Hans,GER,Germany,,Athletics,1980,
Men,Discus Throw C1,Gold,MAMINSKI Mieczyslaw,POL,Poland,,Athletics,1980,
Men,Discus Throw CP C,Gold,DE VLIEGHERE M.,BEL,Belgium,,Athletics,1980,
Men,Discus Throw CP D,Gold,TANGEN Bjorn,NOR,Norway,,Athletics,1980,
Men,Discus Throw D,Gold,POPLAWSKI Andrzej,POL,Poland,,Athletics,1980,
Men,Discus Throw D1,Gold,JEROME John,USA,United States of America,,Athletics,1980,
Men,Discus Throw E,Gold,BEEZ Alois,GER,Germany,,Athletics,1980,
Men,Discus Throw F,Gold,BRAET Achiel,BEL,Belgium,,Athletics,1980,
Men,Discus Throw J,Gold,PALUCH Stanislaw,POL,Poland,,Athletics,1980,
Men,Discus Throw 2,Gold,CONDON Graham,NZL,New Zealand,,Athletics,1980,
Men,Discus Throw 3,Gold,VAN OPHEM Remi,BEL,Belgium,,Athletics,1980,
Men,Discus Throw 4,Gold,REIMER Eugene,CAN,Canada,,Athletics,1980,
Men,Discus Throw 5,Gold,CLARK Raymond,SWE,Sweden,,Athletics,1980,
Men,Javelin 1C,Gold,SPIESS Guenter,GER,Germany,,Athletics,1980,
Men,Javelin B,Gold,SULISALO Timo,FIN,Finland,,Athletics,1980,
Men,Javelin C,Gold,PFLANZER Gilbert,AUT,Austria,,Athletics,1980,
Men,Javelin C1,Gold,LAPALME Denis,CAN,Canada,,Athletics,1980,
Men,Javelin CP C,Gold,DE VLIEGHERE M.,BEL,Belgium,,Athletics,1980,
Men,Javelin CP D,Gold,TANGEN Bjorn,NOR,Norway,,Athletics,1980,
Men,Javelin D,Gold,ZMITROWICZ Andrzej,POL,Poland,,Athletics,1980,
Men,Javelin D1,Gold,JEROME John,USA,United States of America,,Athletics,1980,
Men,Javelin E,Gold,DABROWSKI Jerzy,POL,Poland,,Athletics,1980,
Men,Javelin F,Gold,LEONARD Dan,CAN,Canada,,Athletics,1980,
Men,Javelin J,Gold,SADLER Philip,GBR,United Kingdom,,Athletics,1980,
Men,Javelin 2,Gold,LEVESTONE J.,NED,Netherlands,,Athletics,1980,
Men,Javelin 3,Gold,JEFFRESON Davis,JAM,Jamaica,,Athletics,1980,
Men,Javelin 4,Gold,BENZ E.,GER,Germany,,Athletics,1980,
Men,Javelin 5,Gold,CLARK Raymond,SWE,Sweden,,Athletics,1980,
Men,Club Throw 1A,Gold,PATCHETT Wayne,AUS,Australia,,Athletics,1980,
Men,Club Throw 1B,Gold,DUVAL Julius,USA,United States of America,,Athletics,1980,
Men,Pentathlon 1A,Gold,IKONEN U.,FIN,Finland,,Athletics,1980,
Men,Pentathlon 1B,Gold,FRANK Gerhard,AUT,Austria,,Athletics,1980,
Men,Pentathlon 1C,Gold,HENKER Siegmar,GER,Germany,,Athletics,1980,
Men,Pentathlon A,Gold,ZYSKOWSKI Ryszard,POL,Poland,,Athletics,1980,
Men,Pentathlon B,Gold,PAWLIK Andrzej,POL,Poland,,Athletics,1980,
Men,Pentathlon C,Gold,HEAVER A.,CAN,Canada,,Athletics,1980,
Men,Pentathlon C1,Gold,PRICHTZIG Karl,AUT,Austria,,Athletics,1980,
Men,Pentathlon D,Gold,WILLIS Anthony,GBR,United Kingdom,,Athletics,1980,
Men,Pentathlon D1,Gold,BRYANT Richard,USA,United States of America,,Athletics,1980,
Men,Pentathlon E,Gold,FACEY C.,CAN,Canada,,Athletics,1980,
Men,Pentathlon E1,Gold,NIELSEN Jorn,DEN,Denmark,,Athletics,1980,
Men,Pentathlon F,Gold,LEONARD Dan,CAN,Canada,,Athletics,1980,
Men,Pentathlon 2,Gold,HERTLE Walter,GER,Germany,,Athletics,1980,
Men,Pentathlon 3,Gold,LEVIS Reno,USA,United States of America,,Athletics,1980,
Men,Pentathlon 4,Gold,SCHUHBAUER Johann,GER,Germany,,Athletics,1980,
Men,Pentathlon 5,Gold,CLARK Raymond,SWE,Sweden,,Athletics,1980,
Women,60 m 1A,Gold,CORNEJO Josefina,Mex,Mexico,,Athletics,1980,
Women,60 m 1B,Gold,PATTON C.,USA,United States of America,,Athletics,1980,
Women,60 m 1C,Gold,HANAN Ahmed Fathi,EGY,Egypt,,Athletics,1980,
Women,60 m A,Gold,LOVITT Carmella,USA,United States of America,,Athletics,1980,
Women,60 m CP C,Gold,ONFROY,FRA,France,,Athletics,1980,
Women,60 m CP D,Gold,DOSIMONT D.,FRA,France,,Athletics,1980,
Women,60 m 2,Gold,AL-ROMI Adelah,KUW,Kuwait,,Athletics,1980,
Women,60 m 3,Gold,VALDEZ Angeles,Mex,Mexico,,Athletics,1980,
Women,60 m 4,Gold,RAHN Sharon,USA,United States of America,,Athletics,1980,
Women,60 m 5,Gold,SOTO Juana,Mex,Mexico,,Athletics,1980,
Women,100 m B,Gold,KOZLOWSKA Grazyna,POL,Poland,,Athletics,1980,
Women,100 m C,Gold,FARRELL Anne,CAN,Canada,,Athletics,1980,
Women,100 m C1,Gold,KOZLAK Danuta,POL,Poland,,Athletics,1980,
Women,100 m D,Gold,WILLIAMSON Melody,USA,United States of America,,Athletics,1980,
Women,100 m D1,Gold,NEWLAND Sarah,JAM,Jamaica,,Athletics,1980,
Women,100 m E,Gold,JOSCELYNE Barbara,GBR,United Kingdom,,Athletics,1980,
Women,100 m F,Gold,NOBUMOTO Hiromi,JPN,Japan,,Athletics,1980,
Women,100 m F1,Gold,COLE Giselle,CAN,Canada,,Athletics,1980,
Women,200 m 2,Gold,AL-ROMI Adelah,KUW,Kuwait,,Athletics,1980,
Women,200 m 3,Gold,CABLE Candace,USA,United States of America,,Athletics,1980,
Women,400 m A,Gold,KELLER Lou,USA,United States of America,,Athletics,1980,
Women,400 m B,Gold,SCHAFHAUSEN I.,GER,Germany,,Athletics,1980,
Women,400 m C1,Gold,KOZLAK Danuta,POL,Poland,,Athletics,1980,
Women,400 m CP C,Gold,ONFROY,FRA,France,,Athletics,1980,
Women,400 m CP D,Gold,DOSIMONT D.,FRA,France,,Athletics,1980,
Women,400 m D,Gold,KIRBY R.,USA,United States of America,,Athletics,1980,
Women,400 m E,Gold,JOSCELYNE Barbara,GBR,United Kingdom,,Athletics,1980,
Women,400 m F1,Gold,COLE Giselle,CAN,Canada,,Athletics,1980,
Women,400 m 2,Gold,LYFORD Glee,USA,United States of America,,Athletics,1980,
Women,400 m 3,Gold,CABLE Candace,USA,United States of America,,Athletics,1980,
Women,400 m D1 runners,Gold,WIECZOREK Alina,POL,Poland,,Athletics,1980,
Women,400 m D1 wheelchairs,Gold,BEDLA Barbara,POL,Poland,,Athletics,1980,
Women,800 m A,Gold,WITTJE Susanne,GER,Germany,,Athletics,1980,
Women,800 m B,Gold,SCHAFHAUSEN I.,GER,Germany,,Athletics,1980,
Women,800 m 4,Gold,RAHN Sharon,USA,United States of America,,Athletics,1980,
Women,800 m 5,Gold,SOTO Juana,Mex,Mexico,,Athletics,1980,
Women,1500 m F1,Gold,SCHAD Petra,GER,Germany,,Athletics,1980,
Women,1500 m 4,Gold,RAHN Sharon,USA,United States of America,,Athletics,1980,
Women,1500 m 5,Gold,SOTO Juana,Mex,Mexico,,Athletics,1980,
Women,3000 m Walk A,Gold,HURD Cheryl,CAN,Canada,,Athletics,1980,
Women,Slalom 1A,Gold,DONALDSON Karen,USA,United States of America,,Athletics,1980,
Women,Slalom 1B,Gold,PATTON C.,USA,United States of America,,Athletics,1980,
Women,Slalom 1C,Gold,BOREGGIO Gabriella,ITA,Italy,,Athletics,1980,
Women,Slalom 2,Gold,HILL Patricia,NZL,New Zealand,,Athletics,1980,
Women,Slalom 3,Gold,QUINLAN Darleen,USA,United States of America,,Athletics,1980,
Women,Slalom 4,Gold,ECKERT B.,GER,Germany,,Athletics,1980,
Women,Slalom 5,Gold,MCDONALD J.,CAN,Canada,,Athletics,1980,
Women,High Jump A,Gold,VAN RIJSWIJK Joke,NED,Netherlands,,Athletics,1980,
Women,High Jump B,Gold,ROWLEY Janet,USA,United States of America,,Athletics,1980,
Women,High Jump C,Gold,CREE,AUS,Australia,,Athletics,1980,
Women,High Jump D,Gold,GRIMSTEAD S.,CAN,Canada,,Athletics,1980,
Women,Long Jump B,Gold,SCHAFHAUSEN I.,GER,Germany,,Athletics,1980,
Women,Long Jump C,Gold,FARRELL Anne,CAN,Canada,,Athletics,1980,
Women,Long Jump CP C,Gold,ONFROY,FRA,France,,Athletics,1980,
Women,Long Jump CP D,Gold,DOSIMONT D.,FRA,France,,Athletics,1980,
Women,Long Jump D,Gold,GRIMSTEAD S.,CAN,Canada,,Athletics,1980,
Women,Long Jump E,Gold,JOSCELYNE Barbara,GBR,United Kingdom,,Athletics,1980,
Women,Long Jump F,Gold,NOBUMOTO Hiromi,JPN,Japan,,Athletics,1980,
Women,Long Jump F1,Gold,COLE Giselle,CAN,Canada,,Athletics,1980,
Women,Shot Put 1A,Gold,CORNEJO Josefina,Mex,Mexico,,Athletics,1980,
Women,Shot Put 1B,Gold,PATTON C.,USA,United States of America,,Athletics,1980,
Women,Shot Put 1C,Gold,HANAN Ahmed Fathi,EGY,Egypt,,Athletics,1980,
Women,Shot Put A,Gold,POLDERMAN-KORTEKAAS M. A. T.,NED,Netherlands,,Athletics,1980,
Women,Shot Put B,Gold,ROWLEY Janet,USA,United States of America,,Athletics,1980,
Women,Shot Put C,Gold,FARRELL Anne,CAN,Canada,,Athletics,1980,
Women,Shot Put C1,Gold,OSTERWALDER Elisabeth,SUI,Switzerland,,Athletics,1980,
Women,Shot Put CP C,Gold,GODDARD M.,GBR,United Kingdom,,Athletics,1980,
Women,Shot Put CP D,Gold,DOSIMONT D.,FRA,France,,Athletics,1980,
Women,Shot Put D,Gold,BALTA Stephania,CAN,Canada,,Athletics,1980,
Women,Shot Put D1,Gold,BEDLA Barbara,POL,Poland,,Athletics,1980,
Women,Shot Put E,Gold,MIELECH Zofia,POL,Poland,,Athletics,1980,
Women,Shot Put F,Gold,CWIKLINSKA Krystyna,POL,Poland,,Athletics,1980,
Women,Shot Put 2,Gold,PRICE M.,GBR,United Kingdom,,Athletics,1980,
Women,Shot Put 3,Gold,RIMMER Eve M.,NZL,New Zealand,,Athletics,1980,
Women,Shot Put 4,Gold,DAVIS Henriette,JAM,Jamaica,,Athletics,1980,
Women,Shot Put 5,Gold,WILLIAMS Leone,JAM,Jamaica,,Athletics,1980,
Women,Discus Throw 1A,Gold,CORNEJO Josefina,Mex,Mexico,,Athletics,1980,
